Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Camponotus vicinus,,bicoloured carpenter ant,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Formicoidea,Formicidae,Formicinae,,,,observed,13-Jun-15,Libby Avis,Boys & Girls Club 15,,,,,,Boys & Girls Club;,,ART
Cancer magister,,Dungeness crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,,,observed,30-Apr-11,Melissa Frey,Frey Pearson Intertidal 11,,,,,,Pearson College Seashore;,,ART
Cancer productus,,red rock crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,,,observed,30-Apr-11,Melissa Frey,Frey Pearson Intertidal 11,,,,,,Pearson College Seashore;shaded outcrop,,ART
Caradrina morpheus,,Mottled Rustic,Animalia,Arthropoda,,,Insecta,,,Lepidoptera,,,Noctuidae,,,,,observed,13-Jun-15,Libby Avis,Camas Hill 15,,,,,,Camas Hill;thin soil on outcrops and ledges,,ART
Cathartes aura,,turkey vulture,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Cathartidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Catharus guttatus,,hermit thrush,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Turdidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Catharus ustulatus,,Swainson's thrush,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Turdidae,,,,,observed,24-May-14,Ann Nightingale,Birding Team 14,,,,,,Metchosin;,,BIR
Catriona columbiana,,nudibranch,Animalia,Mollusca,,,Gastropoda,,,Nudibranchia,,,Trinchesiidae,,,,,unobserved,8-Jun-18,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,MOL
Celastrina echo,,echo azure,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Polyommatinae,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Camas Hill;thin soil on outcrops and ledges,,ART
Celastrina ladon,,Butterfly ? Spring azure,Animalia,Arthropoda,,,Insecta,,,Lepidoptera,,,Lycaenidae,,,,,observed,30-Apr-11,Richard Winder,Winder Rafuse Matheson 11,,,,,,Matheson Park;,,ART
Centrodera spurca,,yellow Douglas-fir borer,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Chrysomeloidea,Cerambycidae,Lepturinae,,,,observed,13-Jun-15,Libby Avis,Metchosin - downtown,,,,,,Albert Head DND;,,ART
Cepphus columba,,pigeon guillemot,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Alcidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;Cl Crustacea:Ord Decapoda:descr by Carmen Braden,,BIR
Ceratina,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,,,observed,5-May-12,Elizabeth Elle,Elle Elwell B&G 12,,,,,,Metchosin Boys/Girls Club;,,ART
Ceratinops inflatus,,high-headed rugose money spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,,,,observed,30-Apr-11,Robb Bennett,Bennett Copley 11,,,,,,Pearson College ;,,ART
Ceratostoma foliatum,,leafy hornmouth,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Caenogastropoda,,Ocenebrinae,Muricidae,Ocenebrinae,,,,unobserved,1-Jan-05,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,MOL
Cerorhinca monocerata,,rhinoceros auklet,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Alcidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;Cl Crustacea:Ord Decapoda:,,BIR
Certhia americana,,brown creeper,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Certhiidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;Cl Crustacea:Ord Thoracica:,,BIR
Charadrius vociferus,,killdeer,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Charadriidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Chelyosoma productum,,Disc-top tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Corellidae,,,,,unobserved,1-Jan-06,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,MAR
Chironomus,,,Animalia,Arthropoda,,,Insecta,,,Diptera,,,Chironomidae,,,,,observed,24-May-14,Rick Nordin,Matheson 14,,,,,,Matheson Lake proper;,,ART
Chlamys hastata,,spiny scallop,Animalia,Mollusca,,,Bivalvia,Pteriomorphia,,Pectinida,,Pectinoidea,Pectinidae,,,,,unobserved,15-Mar-02,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,MOL
Chordeiles minor,,common nighthawk,Animalia,Chordata,Vertebrata,,Aves,,,Caprimulgiformes,,,Caprimulgidae,,,,,observed,13-Jun-15,Ann Nightingale,Birding Team 15,,,,,,Metchosin;,,BIR
Chroicocephalus philadelphia,,Bonaparte's gull,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,,,observed,27-Apr-13,Ann Nightingale,Birding Team 13,,,,,,Metchosin;,,BIR
Chrysaora fuscescens,,Pacific sea nettle,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,Pelagiidae,,,,,unobserved,1-Oct-11,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;Class Echinoidea:descr by Lansana Kabba,,JEL
Chrysemys picta,,Turtles,Animalia,Chordata,Vertebrata,,Reptilia,,,Testudines,,,Emydidae,,,,,observed,24-May-14,Kristiina Ovaska,Ovaska B&G Club,,,,,,Camas Hill;,,HER
Chrysoperla plorabunda,,Green Lacewing,Animalia,Arthropoda,,,Insecta,,,Neuroptera,,,Chrysopidae,,,,,observed,24-May-14,Claudia Copley,Copley 14,,,,,,Witty's Lagoon Park;,,ART
Cicurina simplex,,,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,,Dictynidae,,,,,observed,30-Apr-11,Robb Bennett,Bennett Copley 11,,,,,,Pearson College ;,,ART
Cicurina tersa,,western small-eared littleweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,,Dictynidae,,,,,observed,30-Apr-11,Robb Bennett,Bennett Copley 11,,,,,,Pearson College ;large Telamonia,,ART
Cinclus mexicanus,,American dipper,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Cinclidae,,,,,observed,24-May-14,Ann Nightingale,Birding Team 14,,,,,,Metchosin;,,BIR
Cistothorus palustris,,marsh wren,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Troglodytidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Cladara limitaria,,mottled gray carpet,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,,,,observed,30-Apr-11,Rick/Libby Avis,Avis Hans Helgesen,,,,,,Hans Helgesen;,,ART
Clavularia,,,Animalia,Cnidaria,,,Anthozoa,,,Alcyonacea,,,Clavulariidae,,,,,unobserved,1-Apr-10,Dr. Anita Brinckmann-Voss,Race Rocks Inventory,,,,,,Race Rocks;,,JEL
Clinocardium nuttallii,,Nuttall's cockle,Animalia,Mollusca,,,Bivalvia,Heterodonta,Imparidentia,Venerida,,Cardioidea,Cardiidae,,,,,observed,30-Apr-11,Melissa Frey,Frey Pearson Intertidal 11,,,,,,Parry Bay Beach below Swanwick Centre;,,MOL
Cliona celata,,boring sponge,Animalia,Porifera,,,Demospongiae,,,Clionaida,,,Clionaidae,,,,,unobserved,1-May-10,Ryan Murphy,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,MAR
Clupea pallasii,,Pacific Herring,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Clupeiformes,,,Clupeidae,,,,,unobserved,15-Sep-98,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,FIS
Cnemidocarpa finmarkiensis,,shiny red sea squirt,Animalia,Chordata,Tunicata,,Ascidiacea,,,Pleurogona,,,Styelidae,,,,,observed,30-May-14,Philip Lambert,Taylor Beach 14,,,,,,Mary Hill/DND;,,MAR
Coccinella septempunctata,,seven-spotted lady beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,,,,observed,30-Apr-11,Rick/Libby Avis,Avis Hans Helgesen,,,,,,Witty's Lagoon;,,ART
Coccinella trifasciata,,three-banded lady beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,,,,observed,5-May-12,Moralea Milne,Milne Camas 12,,,,,,Hans Helgesen;,,ART
Coccothraustes vespertinus,,evening grosbeak,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Fringillidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Cochlicopa lubrica,,Glossy Pillar,Animalia,Mollusca,,,Gastropoda,,,Stylommatophora,,,Cochlicopidae,,,,,observed,30-Apr-11,Lennart Sopuck,Sopuck Englestoff Matheson 11,,,,,,Camas Hill;,,MOL
Coelioxys,,,Animalia,Arthropoda,,,Insecta,,,Hymenoptera,,,Megachilidae,,,,,observed,13-Jun-15,Libby Avis,Witty's Lagoon,,,,,,Witty's Lagoon;,,ART
Coenonympha tullia,,Vancouver Island Ringlet,Animalia,Arthropoda,,,Insecta,,,Lepidoptera,,,Nymphalidae,,,,,observed,13-Jun-15,Moralea Milne,Pedder Bay 15,,,,,,"Pedder Bar;thin soil on sides of outcrops, crevices, syn Bryum capillare",,ART
Colaptes auratus,,northern flicker,Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,Picidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;low intertidal,,BIR
Columba livia,,rock pigeon,Animalia,Chordata,Vertebrata,,Aves,,,Columbiformes,,,Columbidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Contia tenuis,,sharp-tailed snake,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Dipsadinae,,,,observed,5-May-12,Moralea Milne,Milne Camas 12,,,,,,Camas Hill;Class Anthozoa:,,HER
Contopus cooperi,,olive-sided flycatcher,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Tyrannidae,,,,,observed,24-May-14,Ann Nightingale,Birding Team 14,,,,,,Metchosin;,,BIR
Contopus sordidulus,,western wood-pewee,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Tyrannidae,,,,,observed,13-Jun-15,Ann Nightingale,Birding Team 15,,,,,,Metchosin;Cl Crustacea:Ord Thoracica:desc by Mehvish Mehrani,,BIR
Corella willmeriana,,transparent sea squirt,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Corellidae,,,,,unobserved,1-Jan-11,Ryan Murphy,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,MAR
Corolla spectabilis,,Pteropod,Animalia,Mollusca,,,Gastropoda,,,Pteropoda,,,Cymbuliidae,,,,,unobserved,15-Jun-04,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,MOL
Corvus caurinus,,northwestern crow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Corvidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Corvus corax,,common raven,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Corvidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Coryphista meadii,,barberry geometer,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,,,,observed,27-Apr-13,Libby Avis,Pearson Avis 13,,,,,,Pearson College lands;soil near seep,,ART
Crassadoma gigantea,,giant rock scallop,Animalia,Mollusca,,,Bivalvia,Pteriomorphia,,Pectinida,,Pectinoidea,Pectinidae,,,,,unobserved,15-Apr-05,Garry Fletcher,Race Rocks Inventory,,,,,,Metchosin ? see Compiler Notes;Hand-collecting; Pantraps; Berlese Extractions;adult ,,MOL
Crepidula adunca,,Hooked Slippersnail,Animalia,Mollusca,,,Gastropoda,,,Littorinimorpha,,,Calyptraeidae,,,,,observed,9-May-16,Phil Lambert,William Head 16,,,,,,Pearson College Seashore;specimen collected,,MOL
Crepidula nummaria,,Northern White Slippersnail,Animalia,Mollusca,,,Gastropoda,,,Littorinimorpha,,,Calyptraeidae,,,,,observed,1-May-17,Philip Lambert,Mary Hill 17,,,,,,William Head Prison;,,MOL
Crepidula perforans,,Western White Slippersnail,Animalia,Mollusca,,,Gastropoda,,,Littorinimorpha,,,Calyptraeidae,,,,,observed,9-May-16,Phil Lambert,William Head 16,,,,,,Mary Hill/DND;,,MOL
Cribrinopsis fernaldi,,Crimson anemone,Animalia,Cnidaria,,,Anthozoa,,,Actiniaria,,,Actiniidae,,,,,unobserved,15-Sep-06,Armin Svoboda,Race Rocks Inventory,,,,,,Race Rocks;arbutus; garry oak; and douglas-fir woodlands; adult,,JEL
Crossaster papposus,,Rose star,Animalia,Echinodermata,,,Asteroidea,,,Valvatida,,,Solasteridae,,,,,unobserved,1-Jan-05,Garry Fletcher,Race Rocks Inventory,,,,,,"Race Rocks;O. Hymenoptera, F. Apidae",,ECH
Cryptochiton stelleri,,gumboot chiton,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Neoloricata,,,Acanthochitonidae,,,,,observed,27-Apr-13,Gretchen Markle,Swanwick Beach 13,,,,,,Pearson College Seashore;,,MOL
Cryptolithodes sitchensis,,Turtle Crab,Animalia,Arthropoda,,,Malacostraca,,,Decapoda,,,Lithodidae,,,,,unobserved,1-Oct-03,Garry Fletcher,Race Rocks Inventory,,,,,,"Glinz Lake, Camp Thunderbird;",,ART
Cucumaria miniata,,orange sea cucumber,Animalia,Echinodermata,Asterozoa,,Holothuroidea,,,Dendrochirotida,,,Cucumariidae,,,,,observed,5-May-12,Gretchen Markle,Markle Pearson 12,,,,,,Pearson College waterfront by kayak;,,ECH
Cucumaria pseudocurata,,,Animalia,Echinodermata,,,Holothuroidea,,,Dendrochirotida,,,Cucumariidae,,,,,observed,30-Apr-11,Philip Lambert,Lambert Race Rocks 11,,,,,,Race Rocks;,,ECH
Cuterebra ,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Oestridae,Cuterebrinae,,,,observed,1-May-17,"Copley, Claudia R.",Copley Mary Hill 2017,,,,,,Hans Helgesen School;,,ART
Cuthona divae,,Rose-pink Cuthona,Animalia,Mollusca,,,Gastropoda,,,Nudibranchia,,,Cuthonidae,,,,,unobserved,1-Jan-11,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,MOL
Cyanea capillata,,Lion?s mane jellyfish,Animalia,Cnidaria,,,Scyphozoa,,,Semaeostomeae,,,Cyaneidae,,,,,unobserved,15-Feb-02,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;arbutus; garry oak; and douglas-fir woodlands; adult,,JEL
Cyanocitta stelleri,,Steller's jay,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Corvidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Cybaeota shastae,,western cryptic woodland spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Cybaeidae,,,,,observed,30-Apr-11,Robb Bennett,Bennett Copley 11,,,,,,Pearson College ;,,ART
Cybaeus eutypus,,,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Cybaeidae,,,,,observed,30-Apr-11,Robb Bennett,Bennett Copley 11,,,,,,Matheson Lake ;,,ART
Cybaeus morosus,,northwest woodland spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Cybaeidae,,,,,observed,30-Apr-11,Robb Bennett,Bennett Copley 11,,,,,,Matheson Lake ;,,ART
Cybaeus reticulatus,,,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Cybaeidae,,,,,observed,27-Apr-13,"R. Bennett, D. Copley",Bennett Copley 13,,,,,,Pearson College ;,,ART
Cybaeus signifer,,night-hunting woodland spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Cybaeidae,,,,,observed,30-Apr-11,Robb Bennett,Bennett Copley 11,,,,,,Witty's Lagoon Park;,,ART
Cycloneda polita,,western blood-red lady beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,,,,observed,24-May-14,Claudia Copley,Copley 14,,,,,,Witty's Lagoon;,,ART
Cyclophora dataria,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Sterrhinae,,,,observed,13-Jun-15,Libby Avis,Avis Pearson 15,,,,,,Pearson College;,,ART
Cyclophora pendulinaria,,Sweetfern Geometer Moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Sterrhinae,,,,observed,13-Jun-15,Libby Avis,Metchosin Downtown 15,,,,,,Metchosin - downtown;,,ART
Cyclosa conica,,,Animalia,Arthropoda,,,Arachnida,,,Araneae,,,Araneidae,,,,,observed,30-Apr-11,Robb Bennett,Bennett Copley 11,,,,,,Pearson College ;,,ART
Cyclosa turbinata,,,Animalia,Arthropoda,,,Arachnida,,,Araneae,,,Araneidae,,,,,observed,9-May-16,"Bennett, Robb G.; Copley, Darren R.",Albert Head 16,,,,,,Pearson College ;,,ART
Cydia pomonella,,Apple Codling Moth,Animalia,Arthropoda,,,Insecta,,,Lepidoptera,,,Tortricidae,,,,,observed,13-Jun-15,Libby Avis,Boys & Girls Club 15,,,,,,Boys & Girls Club;,,ART
Cygnus olor,,mute swan,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Cymatogaster aggregata,,shiner perch,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Embiotocidae,,,,,observed,27-Apr-13,Michelle Spani,Spani Witty 13,,,,,,Witty's Lagoon shoreline;Cl Crustacea:Ord Decapoda:,,FIS
Cypseloides niger,,black swift,Animalia,Chordata,Vertebrata,,Aves,,,Apodiformes,,,Apodidae,,,,,observed,13-Jun-15,Ann Nightingale,Birding Team 15,,,,,,Metchosin;,,BIR
Dendragapus fuliginosus,,sooty grouse,Animalia,Chordata,Vertebrata,,Aves,,,Galliformes,,,Phasianidae,,,,,observed,30-Apr-11,Lennart Sopuck,Sopuck Englestoff Matheson 11,,,,,,Metchosin;Cl Crustacea:Ord Thoracica:descr by Aven Crawshay,,BIR
Dendragapus obscurus,,Blue grouse,Animalia,Chordata,Vertebrata,,Aves,,,Galliformes,,,Phasianidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;low intertidal,,BIR
Dendroica coronata,,Yellow-rumped warbler,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Parulidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Dendroica nigrescens,,Black-throated Gray Warbler,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Parulidae,,,,,observed,24-May-14,Ann Nightingale,Birding Team 14,,,,,,Matheson Park;,,BIR
Dendroica petechia,,Yellow Warbler,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Parulidae,,,,,observed,24-May-14,Ann Nightingale,Birding Team 14,,,,,,Metchosin;,,BIR
Dendroica townsendi,,Townsend's warbler,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Parulidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Dermasterias imbricata,,leather star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Poraniidae,,,,,unobserved,1-Jan-06,Garry Fletcher,Race Rocks Inventory,,,,,,"Race Rocks;O. Hymenoptera, F. Apidae",,ECH
Deroceras laeve,,Gastropods,Animalia,Mollusca,,,Gastropoda,,,Stylommatophora,,,Agriolimacidae,,,,,observed,24-May-14,Kristiina Ovaska,Glinz Lake 14,,,,,,Matheson Park;,,MOL
Deroceras reticulatum,,Gastropods,Animalia,Mollusca,,,Gastropoda,,,Stylommatophora,,,Agriolimacidae,,,,,observed,24-May-14,Kristiina Ovaska,Ovaska B&G Club,,,,,,Camas Hill;,,MOL
Diaulula sandiegensis,,Leopard Nudibranch,Animalia,Mollusca,,,Gastropoda,,,Nudibranchia,,,Discodorididae,,,,,observed,9-May-16,Phil Lambert,William Head 16,,,,,,William Head Prison;Found by J Holkko/J Pendray,,MOL
Diodora aspera,,Keyhole Limpet,Animalia,Mollusca,,,Gastropoda,,,Lepetellida,,,Fissurellidae,,,,,observed,9-May-16,Phil Lambert,William Head 16,,,,,,William Head Prison;Found by Kevin Trim,,MOL
Dirona albolineata,,white-lined dirona,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Proctonotoidea,Dironidae,,,,,observed,5-May-12,Gretchen Markle,Markle Pearson 12,,,,,,William Head Prison;,,MOL
Distaplia,,,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Holozoidae,,,,,unobserved,1-Jan-06,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;Order Formicidae,,MAR
Dodecaceria concharum,,coralline fringed tube worm,Animalia,Annelida,,,Polychaeta,Canalipalpata,,Terebellida,,,Cirratulidae,,,,,unobserved,1-Jan-09,Ryan Murphy,Race Rocks Inventory,,,,,,"Race Rocks;O. Hymenoptera, F. Apidae",,
Dodecaceria fewkesi,,fringed filament worm,Animalia,Annelida,,,Polychaeta,Canalipalpata,,Terebellida,,,Cirratulidae,,,,,observed,27-May-14,Gretchen Markle,Markle 14,,,,,,Mid to south Taylor Beach bluffs;,,MAR
Doris montereyensis,,Monterey dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Dorididae,,,,,observed,27-Apr-13,Philip Lambert,Lambert 13,,,,,,Parry Bay Beach below Swanwick Centre;,,MOL
Drepana bilineata,,Two-lined Hooktip Moth,Animalia,Arthropoda,,,Insecta,,,Lepidoptera,,,Drepanidae,,,,,observed,24-May-14,Libby Avis,Avis 14,,,,,,Camas Hill;,,ART
Drepanulatrix,,geometrid moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Ennominae,,,,observed,13-Jun-15,Libby Avis,Metchosin Downtown 15,,,,,,Metchosin - downtown;,,ART
Dryocopus pileatus,,pileated woodpecker,Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,Picidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;low intertidal,,BIR
Dysdera crocata,,woodlouse spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dysderoidea,Dysderidae,,,,,observed,30-Apr-11,Robb Bennett,Bennett Copley 11,,,,,,Albert Head DND;,,ART
Ectopleura marina,,pink hydroid,Animalia,Cnidaria,,,Hydrozoa,,,Anthoathecata,,,Tubulariidae,,,,,unobserved,1-Sep-10,Ryan Murphy,Race Rocks Inventory,,,,,,Race Rocks;Class Asteroidea:,,JEL
Elasmostethus cruciatus,,red-cross shield bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Pentatomoidea,Acanthosomatidae,Acanthosomatinae,,,,observed,24-May-14,Claudia Copley,Copley 14,,,,,,Mary Hill/DND;,,ART
Eleodes,,,Animalia,Arthropoda,,,Insecta,,,Coleoptera,,,Tenebrionidae,,,,,observed,13-Jun-15,Libby Avis,Witty's Lagoon,,,,,,Camosun Metchosin property;,,ART
Elgaria coerulea,,northern alligator lizard,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Anguidae,,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Moralea Milne Camas Hill prop.;,,HER
Ellychnia,,diurnal firefly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Lampyridae,Lampyrinae,,,,observed,24-May-14,Libby Avis,Avis 14,,,,,,Witty's Lagoon;,,ART
Emmelina monodactyla,,Morning-glory Plume Moth,Animalia,Arthropoda,,,Insecta,,,Lepidoptera,,,Pterophoridae,,,,,observed,5-May-12,Libby Avis,Avis Pearson 12,,,,,,Pearson College;,,ART
Empidonax difficilis,,Pacific-slope flycatcher,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Tyrannidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Empidonax hammondii,,Hammond?s flycatcher,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Tyrannidae,,,,,observed,5-May-12,Ann Nightingale,Birding Team 12,,,,,,Metchosin;,,BIR
Empidonax traillii,,willow flycatcher,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Tyrannidae,,,,,observed,13-Jun-15,Ann Nightingale,Birding Team 15,,,,,,Metchosin;,,BIR
Enallagma annexum,,,Animalia,Arthropoda,,,Insecta,,,Odonata,,,Coenagrionidae,,,,,observed,24-May-14,Claudia Copley,Boys and Girls Club 14,,,,,,Witty's Lagoon;Found by Kevin Trim,,ART
