Family,Full Species,Infra taxa,Habitat,Islands,"Island Size (min, max)",Typical Cover,Date First Seen,Date Last Seen,Notes,taxonName,authority
Boraginaceae,Anchusa azurea Mill.*,,Open,2,,,,,,Anchusa azurea,Mill.*
Boraginaceae,Anchusa officinalis L.*,,Open,1,,,,,,Anchusa officinalis,L.*
Boraginaceae,Borago officinalis L.*,,Open,1,,,,,,Borago officinalis,L.*
Boraginaceae,Buglossoides arvensis (L.) I.M. Johnst.*,,Open,1,,,,,,Buglossoides arvensis,(L.) I.M. Johnst.*
Boraginaceae,Lycopsis arvensis L.*,,Open,1,,,,,,Lycopsis arvensis,L.*
Boraginaceae,Myosotis arvensis (L.) Hill*,,Open,4,,,,,,Myosotis arvensis,(L.) Hill*
Boraginaceae,Myosotis discolor Pers.*,,Open,43,,,,,,Myosotis discolor,Pers.*
Boraginaceae,Myosotis latifolia Poir.*,,Open,1,,,,,,Myosotis latifolia,Poir.*
Boraginaceae,Myosotis laxa Lehm.,,Wetland,4,,,,,,Myosotis laxa,Lehm.
Boraginaceae,Myosotis stricta Link ex Roem. & Schult.*,,Open,12,,,,,,Myosotis stricta,Link ex Roem. & Schult.*
Boraginaceae,Myosotis sylvatica Ehrh. ex Hoffm.*,,Forest,1,,,,,,Myosotis sylvatica,Ehrh. ex Hoffm.*
Boraginaceae,Pentaglottis sempervirens (L.) Tausch ex L.H. Bailey*,,Forest,1,,,,,,Pentaglottis sempervirens,(L.) Tausch ex L.H. Bailey*
Boraginaceae,Plagiobothrys scouleri (Hook. & Arn.) I.M. Johnst.,,Shoreline,28,,,,,,Plagiobothrys scouleri,(Hook. & Arn.) I.M. Johnst.
Boraginaceae,Plagiobothrys tenellus (Nutt. ex Hook.) A. Gray,,Open,4,,,,,,Plagiobothrys tenellus,(Nutt. ex Hook.) A. Gray
Boraginaceae,Symphytum officinale L.*,,Open,1,,,,,,Symphytum officinale,L.*
Boraginaceae,Symphytum uplandicum Nyman*,,Open,1,,,,,,Symphytum uplandicum,Nyman*
