ID,Date,LatitudeDD,LongitudeDD,SpeciesName,ScientificName,GroupSize,Confidence,SightingsID
774,06/27/18,48.8827,-123.2907,humpback whale,Megaptera novaeangliae,1,certain,be79128a-667f-46fe-93b5-04964ae9e038
775,06/27/18,48.8581,-123.3494,humpback whale,Megaptera novaeangliae,1,certain,4350557C-0D3E-4BB1-B316-B924B7B71322
777,06/14/18,48.8591,-123.3558,humpback whale,Megaptera novaeangliae,1,probable,64019172-42C4-4B83-BAD4-734AB4555CA8
778,06/14/18,48.85,-123.3333,humpback whale,Megaptera novaeangliae,1,certain,2958A863-A45C-4B08-9BC2-E66376FBB114
784,05/24/18,48.8593,-123.3501,humpback whale,Megaptera novaeangliae,2,certain,342FCF28-4874-40D2-A7E6-00C4E9A3A1A9
785,05/24/18,48.8433,-123.35,humpback whale,Megaptera novaeangliae,2,certain,92D227C5-09EC-4DFF-A026-E82994BBDB54
789,05/21/18,48.8661,-123.3894,humpback whale,Megaptera novaeangliae,1,certain,C348A0D1-03B8-4865-839C-1D31EF7D2750
790,05/11/18,48.8761,-123.3023,humpback whale,Megaptera novaeangliae,1,probable,A82AADCF-A714-4646-AAF8-D3B1B25A6F86
797,12/05/17,48.9669,-123.4818,humpback whale,Megaptera novaeangliae,1,certain,80c85246-ba38-466c-8018-6f5d69fde533
798,12/03/17,48.8675,-123.3079,humpback whale,Megaptera novaeangliae,2,certain,7A552DE8-8E2A-44BA-B0DD-59C11F3EEF6E
799,11/20/17,48.9425,-123.4083,humpback whale,Megaptera novaeangliae,-,certain,48c74bd8-2b6f-4d33-a2ed-613459ebdb3b
1,06/03/06,48.8636166,-123.30865,killer whale,Orcinus orca,NA,certain,471
2,07/08/06,48.8636166,-123.30865,killer whale,Orcinus orca,NA,certain,523
3,07/08/07,48.86201667,-123.3404833,killer whale,Orcinus orca,NA,certain,636
4,03/05/05,48.83333333,-123.3333333,killer whale,Orcinus orca,10,certain,47716
5,10/24/10,48.85341667,-123.3627333,killer whale,Orcinus orca,5,certain,53840
6,10/24/10,48.85833333,-123.352,killer whale,Orcinus orca,5,,76758
7,09/19/05,48.84765,-123.3476167,killer whale,Orcinus orca,NA,,4922
8,07/15/02,48.886,-123.305,killer whale,Orcinus orca,NA,certain,4935
9,07/15/02,48.886,-123.305,killer whale,Orcinus orca,NA,certain,41276
10,06/24/07,48.89996667,-123.4960833,killer whale,Orcinus orca,NA,certain,4946
11,10/16/11,48.95365,-123.5520833,killer whale,Orcinus orca,25,certain,76847
12,07/20/04,48.83833333,-123.3533333,killer whale,Orcinus orca,10,certain,5032
13,03/16/02,49.015,-123.5881,killer whale,Orcinus orca,7,certain,5114
14,04/23/14,49.00483333,-123.5425,killer whale,Orcinus orca,NA,certain,92720
15,09/30/04,48.85016667,-123.3518333,killer whale,Orcinus orca,15,certain,7238
16,05/19/03,48.8505,-123.3449,killer whale,Orcinus orca,NA,certain,7424
19,04/26/14,48.865,-123.385,killer whale,Orcinus orca,NA,certain,92721
20,07/10/04,48.8575,-123.3128333,killer whale,Orcinus orca,40,certain,11030
21,03/30/14,48.91835,-123.4992167,killer whale,Orcinus orca,4,,93047
22,08/12/05,48.85855,-123.3114333,killer whale,Orcinus orca,20,certain,11709
23,10/31/06,48.98066667,-123.5759833,killer whale,Orcinus orca,1,probable,11851
24,08/01/02,48.8761,-123.3127,killer whale,Orcinus orca,5,certain,11895
25,05/17/07,48.8636166,-123.30865,killer whale,Orcinus orca,NA,certain,13793
26,09/25/03,48.86666667,-123.305,killer whale,Orcinus orca,NA,probable,14113
27,04/23/14,48.87766667,-123.2915333,killer whale,Orcinus orca,5,,93051
28,05/16/07,48.85976667,-123.31775,killer whale,Orcinus orca,NA,certain,15719
