Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Subclass,Super-order,Order,Sub-order,Super-family,Family,Subfamily,Origin,Status,Reporting,Documented in iNaturalist,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,LGL,First Documented,Documenter,iNaturalist Link,Notes,iNaturalist Taxon ID,Stats Code
Ophrydium versatile,Müller,a colonial microscopic single-celled protozoan,Chromista,Ciliophora,Intramacronucleata,,Oligohymenophorea,Peritrichia,,Sessilida,,,Ophrydiidae,,,genus not in CDC records,new 2020,documented,,,,,,44078,judithofsquamish,https://www.inaturalist.org/observations/71512859,,364055
Lepidium heterophyllum,Benth.,Smith's Cress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2019),new 2021,documented,,,,,,44326,ahusdon,https://www.inaturalist.org/observations/78246240,,77669
Lepidium virginicum,L.,tall pepper-grass,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,native,S5,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,79972
Limnanthes douglasii,R. Br.,Douglas' meadowfoam,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Limnanthaceae,,,not in CDC records,new 2021,documented,,,,,,44334,rileyparsons,https://www.inaturalist.org/observations/79717184,iNat: needs i.d.,51336
Lunaria annua,L.,annual honesty,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2019),new 2019,documented,,,,,,43570,judithofsquamish,https://www.inaturalist.org/observations/22636498,,55886
Nasturtium officinale ,W.T. Aiton,watercress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2000) ,confirmed,documented,4601,John Davidson,UBC,UBC: V13061,,44125,gwenlh,https://www.inaturalist.org/observations/65164563,UBC:  Brackendale,78174
Physaria arctica,(Wormsk. ex Hornem.) O'Kane & Shehbaz. ,arctic bladderpod,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,native,S3S4 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,historical record Lesquerella arctica updated to BC CDC & IT IS & iNat  taxonomy,359557
Raphanus raphanistrum,L.,jointed charlock,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2001) ,new 2018,documented,,,,,,43376,benkeen,https://www.inaturalist.org/observations/17177101,,55411
Rorippa curvisiliqua ,(Hook.) Bessey ex Britt.,curvepod yellowcress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,native,S5 (2000) ,reported,undocumented,4968,John Davidson ,UBC,UBC: V13048,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  Garibaldi PP Garibaldi Lake,58866
Sisymbrium officinale,(L.) Scop.,hedge mustard,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2019),new 2019,documented,,,,,,43694,benkeen,https://www.inaturalist.org/observations/31010728,,53266
Tropaeolum majus,L.,nasturtium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Tropaeolaceae,,,not in CDC records,new 2020,documented,,,,,,44151,benkeen,https://www.inaturalist.org/observations/65037331,,54329
Turritis glabra ,L.,tower mustard,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,native,S5 (2015),reported,undocumented,27171,John Pinder-Moss,UBC,UBC: V156931,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  1 mile S of Deeks Cr. Overlooking #99,79460
Amaranthus retroflexus,L.,redroot pigweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Amaranthaceae,Amaranthoideae,native,S5 (2015) ,new,documented,,,,,,44087,benkeen,https://www.inaturalist.org/observations/59548033,,58776
Atocion armeria,(L.) Raf.,sweet william catchfly,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Caryophylloideae,exotic,SNA (2019),new 2020,documented,,,,,,44024,benkeen,https://www.inaturalist.org/observations/52887199,,204246
Atriplex patula,L.,common orache,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Amaranthaceae,,exotic,SNA (2001),confirmed,documented,42181,B. Johnson,2015 Squamish Bioblitz part of Whistler BB Bob Brett),,,42275,judithofsquamish,https://www.inaturalist.org/observations/10484143,,60175
Bistorta vivipara ,(L.) Delarbre,alpine bistort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Polygonaceae,,native,S5 (2015),reported,undocumented,6432,John Davidson,UBC,UBC: V35634,,,,,,130545
Cerastium arvense subsp. strictum,L.,field chickweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Alsinoideae,native,S5 (2015) ,confirmed,documented,5230,W. Taylor,UBC,UBC: V7701,"LGL Limited, Environmental Research Associates, Sidney, BC",43589,benkeen,https://www.inaturalist.org/observations/24533595, ,50847
Cerastium fontanum,Baumg.,common mouse-ear chickweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Alsinoideae,exotic,SNA (2000),confirmed,documented,4895,R. Mathews,UBC,UBC: V43642,,43612,judithofsquamish,https://www.inaturalist.org/observations/25923125,,53307
Cerastium glomeratum,Thuill.,sticky mouse-ear chickweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Alsinoideae,exotic,SNA (2019) ,new 2020,documented,,,,,,43951,benkeen,https://www.inaturalist.org/observations/44439580,,52973
Cerastium nutans ,Raf.,common chickweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,native,S4 (2015),reported,undocumented,24627,P. Warrington ,LEA,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,1818436
Cerastium tomentosum,L.,Snow-in-summer,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Alsinoideae,exotic,SNA (2019),new 2021,documented,,,,,,44342,sidalcea,https://www.inaturalist.org/observations/80417404,,160347
Cherleria biflora  ,(L.) A. J. Moore & Dillenb.,mountain sandwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,native,S5 (2015),reported,undocumented,24705,V. Bednar ,UBC,UBC: V158270,,,,,UBC:  Garibaldi PP Sentinel Gl foreland,836811
Cherleria obtusiloba ,(Rydb.) A. J. Moore & Dillenb.,none,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,native,S5? (2015),reported,undocumented,1912-08-00,F. Perry ,UBC,UBC: V7623,,,,,UBC:  Garibaldi high ridges,836821
Sabulina macra ,(A. Nelson & J.F. Macbr.) Dillenb. & Kadereit,california sandwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,native,S5 (2000),reported,undocumented,34113,Terry Taylor,RBCM,V182022,,,,,RBCM:  Bowen Island; Herbarium record Minuartia tenella (J. Gay) Mattf.,836878
Sabulina rubella ,(Wahlenb.) Dillenb. & Kadereit,reddish sandwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,native,S5 (2015) ,reported,undocumented,18862,W. Cottle ,UBC,UBC: V27283,,,,,UBC:  Garibaldi PP Polemonium Ridge,836893
Sagina maxima crassicaulis,A. Gray (S. Watson) Crow,thick-stemmed pearlwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,native,S5 (2000),new 2018,documented,,,,,,43295,judithofsquamish,https://www.inaturalist.org/observations/14418686,iNat: needs i.d.,80178
Sagina procumbens,L.,procumbent pearlwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,exotic,SNA (2015),confirmed,documented,16289,Vernon C. Brink,UBC,UBC: V120920,,43606,benkeen,https://www.inaturalist.org/observations/25543480,,55667
Sagina saginoides ,(L.) H. Karsten,alpine pearlwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,native,S5 (2015),reported,undocumented,24700,V. Bednar,UBC,UBC: V158297,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  Garibaldi PP Sentinel Gl foreland,78923
Salicornia depressa ,Standl.,virginia glasswort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Amaranthaceae,Chenopodioideae,native,S4 (2015) ,reported,undocumented,12265,H.B. Brown ,UBC,UBC: V41601,,,,,UBC:  Caulfield Burrard,78930
Salicornia virginica  ,(Standley) A.J. Scott,chenopodiaceae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Amaranthaceae,Chenopodioideae,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,78931
Saponaria officinalis,L.,common soapwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Caryophylloideae,exotic,SNA (2019),new 2020,documented,,,,,,44107,benkeen,https://www.inaturalist.org/observations/61634368, ,56154
Silene acaulis ,(L.) Jacq.,moss campion,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Caryophylloideae,native,S5 (2015),reported,undocumented,1966-00-00,B. Fraser ,UBC,UBC: V158302,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  Garibaldi PP Sentinel Gl foreland,68886
Silene coronaria,(L.) Desr.,rose campion,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Caryophylloideae,exotic,SNA (2001),new 2018,documented,,,,,,43645,benkeen,https://www.inaturalist.org/observations/27890016,,485191
Silene dioica,(L.) Clairv.,red campion,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Caryophylloideae,exotic,SNA (2001) ,new 2018,documented,,,,,,43435,benkeen,https://www.inaturalist.org/observations/18764745,,55759
Silene menziesii,Hook.,Menzies' catchfly,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Caryophylloideae,native,S5 (2019) ,reported,undocumented,10382,,RBCM,V038481,,,,,RBCM:  West Vancouver,79111
Silene parryi ,(S. Watson) C.L. Hitchc. & Maguire,Parry's campion,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Caryophylloideae,native,S5 (2000),reported,undocumented,23972,B. Fraser,UBC,UBC: V158303,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  Garibaldi PP Sentinel Gl foreland,143681
Spergula arvensis,L.,corn spurrey,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,exotic,SNA (2019),reported,undocumented,27198,,RBCM,V082552,,,,, ,57005
Spergularia canadensis  ,(Pers.) G. Don,canada sandspurry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,native,S5 (2000) ,confirmed,documented,1914-07-00,James A. Wattie ,UBC,UBC: V190187,"LGL Limited, Environmental Research Associates, Sidney, BC",43779,judithofsquamish,https://www.inaturalist.org/observations/37937982," iNat: perhaps Spergularia canadensis occidentalis, taxon 81378",79168
Spergularia macrotheca,(Hornem.) Heynh.,sticky sand-spurrey,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,native,S4 (2019),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC", , , ,,61472
Spergularia marina,J. & K. Presl,salt marsh sand-spurry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,exotic,SNA (2019),reported,undocumented,14859,,RBCM,V013435,,,,,RBCM:  West Vancouver; original record S. salina,79169
Spergularia rubra,(L.) J. Presl & K. Presl,red sand spurrey,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,exotic,SNA (2001),confirmed,documented,27198,,RBCM,V082551,,42548,judithofsquamish,http://www.inaturalist.org/observations/4503353,,55730
Stellaria borealis subsp. borealis ,Bigelow ,boreal starwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Alsinoideae,native,S5 (2000) ,reported,undocumented,23929,B. Fraser ,UBC,UBC: V158305,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  Garibaldi PP Sentinel Gl foreland,238712
Stellaria calycantha ,(Ledeb.) Bong.,northern starwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Alsinoideae,native,S4S5 (2015),reported,undocumented,23949,B. Fraser ,UBC,UBC: V158264,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  Garibaldi PP Sphinx Gl foreland,79200
Stellaria crassifolia ,Ehrh.,fleshy stitchwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Alsinoideae,native,S4S5 (2015),reported,undocumented,18871,W. Cottle ,UBC,UBC: V27286,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  Garibaldi PP Garibaldi Lake,169334
Stellaria crispa ,Cham. & Schltdl.,crisp starwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Alsinoideae,native,S5 (2015),reported,undocumented,27191,Charles E. Beil ,UBC,UBC: V176106,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  Bowen Island Plot 10,79201
Stellaria humifusa,Rottb.,creeping sandwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Alsinoideae,native,S4 (2015),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",42154,judithofsquamish,https://www.inaturalist.org/observations/4503653, ,169339
Stellaria longipes subsp. longipes ,Goldie,longstalk starwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Alsinoideae,native,S5 (2000),reported,undocumented,1927-08-00,F. Perry ,UBC,UBC: V8133,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  Garibaldi PP Black Tusk,80222
Stellaria media,(L.) Vill.,common chickweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Alsinoideae,exotic,SNA (2001),new 2018,documented,,,,,,43226,judithofsquamish,https://www.inaturalist.org/observations/12223056,,53298
Claytonia exigua subsp. exigua,T. & G.,serpentine springbeauty,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Montiaceae,,native,S4 (2020),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,57234
Claytonia exigua subsp. glauca,(T.& G.) J.M.Miller & K. Chambers.,serpentine springbeauty,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Montiaceae,,native,S4 (2020),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,57229
Claytonia lanceolata,Pursh,western springbeauty,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Montiaceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,62584
Claytonia parviflora,douglas ex hook.,streambank springbeauty,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Montiaceae,,native,S5,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,58294
Claytonia parviflora var. parviflora,douglas ex hook.,little-flower springbeauty,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Montiaceae,,native,S4 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,58296
Claytonia perfoliata subsp intermontana,(Donn ex Willdenow) John M. Miller & K. L. Chambers,Intermountain miner’s-lettuce,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Montiaceae,,native,S2S3 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,53001
Claytonia rubra,(Howell) Tidest.,Redstem Springbeauty,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Montiaceae,,native,S5 (2020),new 2021,documented,,,,,,44290,taylor_justason,https://www.inaturalist.org/observations/73034042,,64184
Claytonia sibirica,L.,candy flower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Montiaceae,,native,S5 (2015) ,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",42098,judithofsquamish,http://www.inaturalist.org/observations/4372696, ,55767
Claytonia washingtoniana,(Suksd.) Suksd.,washington springbeauty,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Montiaceae,,native,S2 (2017) ,reported,undocumented,17664,C.B.W. Rogers,UBC,UBC: V52109,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  West Vancouver Copper Cove,76392
Dianthus barbatus,L.,sweet-william,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Caryophylloideae,exotic,SNA (2019),new 2020,documented,,,,,,44007,atahiliani,https://www.inaturalist.org/observations/50907356,,60015
Drosera anglica     ,Huds.,great sundew,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Droseraceae,,native,S5,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,52655-
Drosera rotundifolia,L.,round-leaved sundew,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Droseraceae,,native,S5 (2015),new 2008,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",39644,hillanddale,https://www.inaturalist.org/observations/9551299, ,52658
Fallopia japonica,(Houtt.) Ronse Decr.,japanese knotweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Polygonaceae,,exotic,SNA (2008),confirmed,documented,39309,Bob Brett,Whistler Biodiversity Project,,,43356,benkeen,https://www.inaturalist.org/observations/16509532,,77130
Honckenya peploides subsp major,(L.) Ehrh. (Hook.) Hultén,Sea Sandwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,native,S5 (2019),new 2017,documented,,,,,,42897,eelgrass13,http://inaturalist.ca/observations/6595672,,129446
Minuartia biflora,(L. Schinz & Thellung,mountain sandwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,Caryophyllanae ,Caryophyllales,,,Caryophyllaceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,0
Minuartia rubella ,Wahl.,boreal sandwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,Caryophyllanae ,Caryophyllales,,,Caryophyllaceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,0
Minuartia tenella,(nutt.) mattf.,slender sandwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,Caryophyllanae ,Caryophyllales,,,Caryophyllaceae,,native,S5,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,0
Moehringia macrophylla,(Hook.) Fenzl,big-leaved sandwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,61884
Montia diffusa,(Nutt.) Greene,branching montia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Montiaceae,,,SU (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,78120
Montia fontana ,L.,blinks,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Montiaceae,,native,S4? (2015),reported,undocumented,5964,John Davidson,UBC,UBC: V45786,,,,,UBC:  Caulfield,58990
Montia linearis,(Dougl.ex Hook.) Greene,narrowleaf miner's lettuce,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Montiaceae,,native,S5 (2019),new 2020,documented,,,,,,43926,benkeen,https://www.inaturalist.org/observations/41470191,,78122
Montia parvifolia parvifolia,(Moc. ex DC.) Greene,littleleaf miner's-lettuce,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Montiaceae,,native,S5 (2015) ,confirmed,documented,27181,Charles E. Biel ,UBC,UBC: V176105,"LGL Limited, Environmental Research Associates, Sidney, BC",43226,judithofsquamish,https://www.inaturalist.org/observations/12215192,LGL record M. parvifolia,237322
Oxyria digyna,(L.) Hill,alpine sorrel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Polygonaceae,Polygonoideae,native,S5 (2019),new 2017,documented,,,,,,42976,sunfishmoonlight,https://www.inaturalist.org/observations/7712179,,67591
Persicaria sp,(L.) Gray,water smartweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Polygonaceae,Polygonoideae,native,S5 (2019),new 2019,documented,,,,,,43634,judithofsquamish,https://www.inaturalist.org/observations/27471813,iNat: needs i.d.,78450
