Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Sub-class,Super-order,Order,Sub-order,Super-family,Family,Sub-family,Origin or Residency Status,Status (coloured if red or blue listed),Reporting,Documented in iNaturalist,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,LGL,First Documented,Documenter,iNaturalist Link,Notes,iNaturalist Taxon ID,Stats Code,Latitude,Longditude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clubiona sp.,Latreille,Leafcurling Sac Spiders,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,,Clubionidae,,Exotic,"genus is in CDC records, 17 spp",new 2019,documented,,,,,,4/16/2019,benkeen,https://www.inaturalist.org/observations/22594932,,121774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coreorgonal monoceras,Keyserling,none,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Erigonidae,,Exotic,"genus is in CDC records, 3 spp",reported,undocumented,1965-02-14,G.J. Spencer,UBC,SEM-UBC SPI-0155,,,,,"UBC: Delorrhips unicornis updated, West Vancouver  ",67606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard coordinates added,,UBC,ETOH,,,,2015-05-01 11:00:00,2020-01-14 12:34:10,,,,,,,,0,,,,,,,,,,,14.ii.1965
Coriarachne sp.,Thorell,a genus of crab spiders,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Thomisidae,,Exotic,C. brunneipes sole sp in CDC,new 2020,documented,,,,,,8/22/2020,benkeen,https://www.inaturalist.org/observations/57273181,,172448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybaeus sp.,L. Koch,a genus of araneomorph spiders,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Cybaeidae,,Exotic,"genus is in CDC records, 8 spp",new 2021,documented,,,,,,4/6/2021,benkeen,https://www.inaturalist.org/observations/73180540,,52951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclosa conica,Pallas,Conical Trashline Orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,Native,S5 (2018),new 2020,documented,,,,,,8/5/2021,cgbc,https://www.inaturalist.org/observations/90367782,,205888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dysdera crocata,C.L. Koch,woodlouse Spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dysderoidea,Dysderidae,,Exotic,SNA,new 2020,documented,,,,,,2020-06-27,cunderdown,https://www.inaturalist.org/observations/51815395,,68912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eratigena duellica,C.L. Koch,giant house spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,Exotic,genus is in CDC records,new 2017,documented,,,,,,2017-04-20,gwenlh,https://www.inaturalist.org/observations/8311370,"CDC records only E. agrestis and E. atrica, both are Exotic",750907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eris militaris,Hentz,bronze jumping spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Native,S4S5 (2018),new 2019,documented,,,,,,2015-05-25,citizen1,https://www.inaturalist.org/observations/26099750,,121445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evarcha sp.,Simon,genus of jumping spiders,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Exotic,"genus is in CDC records, 2 spp",new 2015,documented,,,,,,2015-06-10,cfmurrell,https://www.inaturalist.org/observations/61723610,,61762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habronattus hirsutus,Peckham & Peckham,Hirsute Paradise Spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Native,S4 (2018),new 2018,documented,,,,,,5/12/2018,jkaseman18,https://www.inaturalist.org/observations/68298177,,220812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habronattus oregonensis,Peckham & Peckham,Oregon paradise spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Unrankable,SU (2018),new 2020,documented,,,,,,2020-05-09,benkeen,https://www.inaturalist.org/observations/45409818,,61880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larinioides sclopetarius,Clerck,grey cross spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,Exotic,SNA,new 2015,documented,,,,,,2015-07-04,benkeen,https://www.inaturalist.org/observations/28275245,,538959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maevia inclemens,Walckenaer,dimorphic jumping spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae, ,genus not in CDC records,reported,undocumented,2009-06-16, ,RBCM,ENT009-004643,,,,,RBCM: Big Rideau Lake; Horseshoe Bay,133054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metellina sp.,McCook,tetragnathid spiders,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Tetragnathidae,,Exotic,"genus is in CDC records, 3 spp",new 2019,documented,,,,,,2019-08-18,benkeen,https://www.inaturalist.org/observations/31071153,,55622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microlinyphia dana,Chamberlin & Ivie,west coast threaded sheetweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,Native,S4 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,225132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misumena vatia,Clerck,goldenrod crab spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Thomisidae,,Native,S5 (2018) ,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2015-06-07,judithofsquamish,https://www.inaturalist.org/observations/6016409,,55746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neriene litigiosa,Keyserling,Sierra dome spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,Native,S5 (2018),new 2018,documented,,,,,,2018-08-12,rileypollom,https://www.inaturalist.org/observations/15732244,,209814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parasteatoda tepidariorum,C.L. Koch,common house spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,Exotic,SNA,new 2015,documented,,,,,,2015-09-04,elsemikkelsen,https://www.inaturalist.org/observations/9504728,,120583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pardosa sp.,C.L. Koch,thin-legged wolf spiders,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,Exotic,"genus is in CDC records, 30 spp",new 2018,documented,,,,,,2018-08-18,citizen1,https://www.inaturalist.org/observations/15744263,iNat: needs i.d.,47415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phanias albeolus,Chamberlin & Ivie,a sp of jumping spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Native,S4 (2018),new 2021,documented,,,,,,7/26/2021,benkeen,https://www.inaturalist.org/observations/88767885,,202314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phidippus johnsoni,Peckham & Peckham,red-backed jumping spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Native,S5 (2018) ,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2018-03-31,elsemikkelsen,https://www.inaturalist.org/observations/20484636,,58421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philodromus dispar,Walckenaer,Eurasian running crab spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Philodromidae,,Exotic,SNA,new 2019,documented,,,,,,2019-05-05,benkeen,https://www.inaturalist.org/observations/24650673,,227754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pholcus phalangioides,Feusslin,long-bodied cellar spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Pholcoidea,Pholcidae,,Exotic,SNA,new 2018,documented,,,,,,2018-10-07,benkeen,https://www.inaturalist.org/observations/17298226,,67328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pimoa altioculata,Keyserling,a sp of spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Pimoidae,,Native,S5 (2018),new 2021,documented,,,,,,2/9/2021,urielgc,https://www.inaturalist.org/observations/69393852,,228139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platnickina tincta,Walckenaer,a tangle web spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,Exotic,SNA,new 2020,documented,,,,,,2020-05-09,chloe_and_trevor,https://www.inaturalist.org/observations/45658681,,417238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platycryptus californicus,Peckham & Peckham,California flattened jumping spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Native,S4S5 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2019-06-06,benkeen,https://www.inaturalist.org/observations/26512328,,228315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhysodromus sp.,Schick,a genus of spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Philodromidae,,Exotic,"genus is in CDC records, 3 spp",new 2015,documented,,,,,,6/25/2015,cfmurrell,https://www.inaturalist.org/observations/61682250,,765806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salticus scenicus,Clerck,zebra jumping spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Exotic,SNA,new 2019,documented,,,,,,2019-05-04,benkeen,https://www.inaturalist.org/observations/24554896,,68901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segestria pacifica,Banks,none,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dysderoidea,Segestriidae,,Native,S4S5 (2018),new 2019,documented,,,,,,2019-05-28,elsemikkelsen,https://www.inaturalist.org/observations/33632551,,199807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steatoda grossa,C.L. Koch,false black widow,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,Exotic,SNA,new 2018,documented,,,,,,2018-10-07,benkeen,https://www.inaturalist.org/observations/17297292,,61997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tegenaria domestica,Clerck,barn funnel weaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,Exotic,SNA,new 2020,documented,,,,,,2020-08-29,microbin,https://www.inaturalist.org/observations/57983258,,153507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragnatha sp.,Latreille,none,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Tetragnathidae,,Exotic,"genus is in CDC records, 8 spp",new 2019,documented,,,,,,2019-07-05,judithofsquamish,https://www.inaturalist.org/observations/28232025,,47550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trochosa ruricola,de Geer,rustic wolf spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,Exotic,SNA,new 2020,documented,,,,,,2020-05-04,benkeen,https://www.inaturalist.org/observations/44942776,iNat: needs i.d.,233038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trochosa terricolla,Thorell,ground wolf spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,Native,S5 (2018),reported,undocumented,1975-04-19,J.R. Spence,UBC,SEM-UBC SPI-0374,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Bowen I.,148394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xysticus sp.,C.L. Koch,ground crab spiders,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Thomisidae,,Exotic,"genus is in CDC records, 26 spp",new 2019,documented,,,,,,2019-05-30,benkeen,https://www.inaturalist.org/observations/26093226,,61903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zelotes sp.,Gistel,a genus of gnaphosid spiders ,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Gnaphosoidea,Gnaphosidae,,Exotic,"genus is in CDC records, 7 spp",new 2021,documented,,,,,,9/12/2021,benkeen,https://www.inaturalist.org/observations/94653979,genus not yet confirmed,153636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zygiella sp.,F.O.Pickard,a genus of orb-weaver spiders,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Zygiellinae,Exotic,"genus is in CDC records, 3 spp",new 2018,documented,,,,,,10/1/2018,benkeen,https://www.inaturalist.org/observations/17144118,,141755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptobunus parvulus,Banks,none,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Opiliones,Eupnoi,Phalangioidea,Phalangiidae,Phalangiinae,Native,S4S5 (2019),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2019-11-09,benkeen,https://www.inaturalist.org/observations/35518836,,525639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nelima paessleri,Roewer,harvestman spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Opiliones,Eupnoi,Phalangioidea,Sclerosomatidae,Leiobuninae,Native,S5? (2019) ,new 2019,documented,,,,,,2020-03-29,benkeen,https://www.inaturalist.org/observations/40970506,,428584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paroligolophus agrestis,Meade,a species of harvestman,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Opiliones,Eupnoi,Phalangioidea,Phalangiidae,Oligolophinae,Exotic,SNA (2019),new 2019,documented,,,,,,2019-10-02,benkeen,https://www.inaturalist.org/observations/33786682,,527483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phalangium opilio,L.,European Harvestman,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Opiliones,Eupnoi,Phalangioidea,Phalangiidae,Phalangiinae,Exotic,SNA (2019) ,new 2019,documented,,,,,,2019-07-18,benkeen,https://www.inaturalist.org/observations/29096227,,84644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chthoniidae,Daday,chthoniid pseudoscorpions,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Pseudoscorpiones,Epiocheirata,Chthonioidea,Chthoniidae,,Exotic,,new 2021,documented,,,,,,2/3/2021,urielgc,https://www.inaturalist.org/observations/68997901,,172429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceria genistae,Nalepa,broom gall mite,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Endeostigmata,,Eriophyoidea,Eriophyidae,Eriophyinae,Exotic,genus not in CDC records,new 2020,documented,,,,,,2020-09-21,northvandad,https://www.inaturalist.org/observations/60587346,,384897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eriophyes emarginatae,Duluth,plum finger gall mite,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Endeostigmata,,Eriophyoidea,Eriophyidae,,Exotic,SNR,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2014-06-21,judithofsquamish,https://www.inaturalist.org/observations/8893748,,322964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eriophyes laevis,Nalepa,alder leaf gall mite,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Endeostigmata,,Eriophyoidea,Eriophyidae,Eriophyinae,Exotic,genus not in CDC records,new 2017,documented,,,,,,2017-11-16,judithofsquamish,https://www.inaturalist.org/observations/8869915,,464223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eriophyes sorbi,Canastreni,none,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Endeostigmata,,Eriophyoidea,Eriophyidae,Eriophyinae,Exotic,genus not in CDC records,new 2020,documented,,,,,,2020-06-20,judithofsquamish,https://www.inaturalist.org/observations/50478882,,543710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phytoptus laevis,Nalepa,alder bead gall mite,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Endeostigmata,,Eriophyoidea,Eriophyidae,, ,genus not in CDC records,new2017,documented,,,,,,2017-11-16,judithofsquamish,https://www.inaturalist.org/observations/8869915,,492547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetodactylus krombeini,Baker,Krombein's hairy-footed pollen mite,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Sarcoptiformes,Astigmata,Hemisarcoptoidea,Chaetodactylidae,,Exotic,genus not in CDC records,new 2021,documented,,,,,,4/16/2021,benkeen,https://www.inaturalist.org/observations/75393735,,446781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allothrombium sp.,Berlese,Sumo Mites,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Trombidiformes,Parasitengona,Trombidioidea,Trombidiidae,Allothrombiinae,Exotic,genus not in CDC records,new 2020,documented,,,,,,4/11/2020,benkeen,https://www.inaturalist.org/observations/41965102,,502420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neomolgus littoralis,L.,a species of snout mite,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Trombidiformes,Prostigmata,Bdelloidea,Bdellidae,,Exotic,genus not in CDC records,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2017-07-27,caitlinforeman,https://www.inaturalist.org/observations/7298470,genus not yet confirmed,120956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ixodes angustus,Neumann,a hard-bodied tick,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Parasitiformes,Ixodida,,,Ixodidae,,,S5 (2019),reported ,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,297829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ixodes auritulus,Neumann,a hard-bodied tick,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Parasitiformes,Ixodida,,,Ixodidae,,,S4 (2019),reported ,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,297830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ixodes pacificus,Cooley & Kohls,western black-legged tick,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Parasitiformes,Ixodida,,,Ixodidae,,,S4 (2019),reported ,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,60599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ixodes soricis,Gregson,a hard-bodied tick,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Parasitiformes,Ixodida,,,Ixodidae,,,S4S5 (2019),reported ,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ixodes spinipalpis,Hadwen & Nuttall,a hard-bodied tick,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Parasitiformes,Ixodida,,,Ixodidae,,,S4 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,348956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poecilochirus sp.,G. & R. Canestrini,none,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Parasitiformes,Mesostigmata,,,Parasitidae,,Exotic,genus not in CDC records,new 2015,documented,,,,,,2015-09-03,elsemikkelsen,https://www.inaturalist.org/observations/9505447,,85389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daphnia sp.,O.F. Müller,genus of water fleas,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Cladocera,Anomopoda,,,Daphniidae,,Exotic,genus not in CDC records,reported ,undocumented,1950-09-25,,RBCM,983-00183-002,,,,,RBCM: Squamish-Clowholm Lake,87850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polyphemus pediculus,L.,none,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Cladocera,Onychopoda,,,Polyphemidae,,Exotic,"SNR ""Polyphemus moth""",reported ,undocumented,1950-09-25,,RBCM,983-00183-003,,,,,RBCM: Squamish-Clowholm Lake,483930, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ismaila belciki,Ho,a parasite,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Copepoda,Podoplea,Cyclopoida,Ergasilida,,Splanchnotrophidae,,Exotic,genus not in CDC records,new 2018,documented,,,,,,2018-06-23,thiebaud,https://www.inaturalist.org/observations/56056750,,872210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caligus clemensi,Parker & Mongolis,a sp of sea lice,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Copepoda,Podoplea,Siphonostomatoida,,,Caligidae,,Exotic,genus not in CDC records,new 2021,documented,,,,,,2/6/2021,urielgc,https://www.inaturalist.org/observations/69236075,,1193569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balanus glandula/B. crenatus,Darwin,Pacific acorn barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Sessilia,Balanomorpha,Balanoidea,Balanidae,Balaninae,Exotic,genus not in CDC records,reported,undocumented,2017-08-20T11:50:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,,DG: Porteau,81610,,49.56103,-123.23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balanus glandula,Darwin,Acorn Barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracica,Balanomorpha,,,,,,not in CDC records,,,2017-08-20T11:50:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,,DG: Porteau,81610,,49.56103,-123.23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balanus nubilus ,Darwin,giant acorn barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Sessilia,Balanomorpha,Balanoidea,Balanidae,Balaninae,Exotic,genus not in CDC records,reported ,undocumented,2009-05-20T13:00:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,,"DG: Defence Islands, sponge garden",49127,,49.57667,-123.27443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balanus rostratus ,Hoek,rostrate barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Sessilia,Balanomorpha,Balanoidea,Balanidae,Balaninae,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,782656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
